,Accuracy,Precision,Recall,F1,AUC,MCC
Logistic Regression,0.8641304347826086,0.8532110091743119,0.9117647058823529,0.8815165876777251,0.9337637494021999,0.7248795467964317
Decision Tree,0.8641304347826086,0.8598130841121495,0.9019607843137255,0.8803827751196173,0.8817551410808226,0.7244679215439334
KNN,0.8586956521739131,0.8518518518518519,0.9019607843137255,0.8761904761904762,0.9122429459588715,0.7135242527864403
Naive Bayes,0.8478260869565217,0.8557692307692307,0.8725490196078431,0.8640776699029126,0.9103299856527978,0.6914433060042539
Random Forest,0.8804347826086957,0.8636363636363636,0.9313725490196079,0.8962264150943396,0.9531324725011956,0.7586738563765667
XGBoost,0.8804347826086957,0.8773584905660378,0.9117647058823529,0.8942307692307693,0.9319703491152558,0.7575883776072442
